,TV,Radio,Social Media,Influencer,Sales,ROI
42,68.0,21.63920124,3.223647705,Micro,242.8248811,0.38242723943415535
43,98.0,37.57095206,8.529604366,Mega,351.7730679,0.4096406734212071
44,26.0,10.59953251,0.679275349,Macro,91.92229739,0.40554695560791626
45,10.0,6.145248262,1.591116473,Macro,32.56682505,0.5446144875273925
46,,34.85963715,7.781416681,Mega,318.9697838,0.13368367788008637
47,32.0,0.627618771,2.676075167,Micro,115.2625668,0.30628932634528144
48,29.0,8.852094414,0.041494349,Macro,101.8731014,0.3719685397052219
49,32.0,11.52414895,2.566791358,Mega,111.8997121,0.411895075000823
50,29.0,14.4341063,0.463277331,Macro,104.3526653,0.42066375118259675
51,91.0,40.10852728,7.236170474,Mega,326.3817124,0.42387392582967526
52,83.0,34.28141179,8.697487404,Nano,300.7305325,0.4189095737859607
53,72.0,23.92269582,3.373809656,Mega,255.1551652,0.38916125957382736
54,47.0,24.16913194,2.087910259,Micro,161.7170871,0.45299506386545596
55,10.0,3.455868379,2.400118071,Micro,39.62567824,0.4001442285470897
56,49.0,10.06762616,1.729667405,Macro,169.0081129,0.35973003024400974
57,14.0,5.197856187,0.413965989,Mega,50.98848158,0.3846324026188034
58,20.0,10.75005058,2.442173814,Macro,70.47172273,0.47100061000594756
59,17.0,10.44745162,3.356106421,Nano,58.59009126,0.525746886180904
60,68.0,29.8927411,6.096743741,Mega,237.7721637,0.4373492810209894
61,91.0,25.04555745,6.109369688,Macro,322.1004964,0.37924476523097966
62,52.0,17.11323977,2.638642418,Mega,181.0796122,0.39624495168871365
63,41.0,3.921540021,2.527850591,Nano,145.9192,0.32517578640782024
64,65.0,11.65648785,0.358471532,Micro,228.5646491,0.33695044130951746
65,82.0,31.60769079,3.952448108,Mega,288.9822393,0.4068074881790841
66,14.0,18.64944183,4.529927084,Mega,49.81567405,0.7463387703372851
67,84.0,31.26640836,8.080731556,Nano,299.099052,0.4123956230927807
68,99.0,30.14056912,6.546158024,Mega,351.3598902,0.38617591514718663
69,15.0,2.234293408,1.07771826,Mega,55.00971238,0.33288688261998145
70,64.0,24.69852188,6.741382758,Micro,223.0991462,0.4277914383071718
71,70.0,15.2477262,4.587703384,Macro,247.1394014,0.36350104060744076
72,77.0,26.82235002,5.514187222,Nano,274.7071,0.3980113263981892
73,81.0,20.39194685,3.212250256,Macro,289.1757587,0.36173224746172333
74,46.0,17.79013454,4.117631989,Micro,168.0365387,0.4041250019451871
75,,6.48229344,0.866844994,Macro,91.17721555,0.08060279522321956
76,56.0,25.27608704,3.239265214,Mega,198.3215216,0.4261532060270356
77,98.0,33.05515873,6.063457718,Mega,349.7452965,0.39205278189638215
78,47.0,18.2339617,0.827545346,Mega,166.1372196,0.39763219346665885
79,18.0,8.808702773,2.414186295,Nano,59.28931563,0.49288626049199014
80,77.0,22.9553127,2.642504816,Mega,272.6321364,0.37632327160973683
81,22.0,6.041725794,2.136632357,Mega,77.41731834,0.3898140467545418
82,99.0,37.7178052,3.590086383,Nano,349.4239745,0.4015405404960271
83,36.0,9.096779889,3.81883449,Mega,127.0926738,0.3848814641823989
84,12.0,1.648197979,1.30572513,Mega,43.06509252,0.3472400088785413
85,94.0,47.11629339,9.322957802,Micro,336.5934202,0.44694650032852895
86,97.0,39.23230636,3.698661076,Nano,345.3131637,0.4052291720844119
87,44.0,16.91203429,4.034660177,Macro,154.2065565,0.4211668812343916
88,86.0,31.52189727,6.398283645,Mega,304.7437748,0.40663728404731964
89,93.0,33.05945096,5.78929841,Micro,335.2090696,0.3933328818558911
90,30.0,10.64510759,1.915517115,Macro,104.1809671,0.4085259130311913
91,32.0,0.758066665,2.359200238,Mega,112.269694,0.31279382397711
92,29.0,2.172596338,4.208324504,Mega,103.6348659,0.3413997840855989
93,72.0,25.40659637,3.215455403,Micro,262.4011715,0.3834664731022362
94,14.0,8.001265854,4.18783431,Micro,51.44298395,0.5090898340861115
95,95.0,38.41522497,7.673636553,Micro,336.7606331,0.41895889143641113
96,20.0,3.934783488,0.328469804,Nano,72.62590273,0.33408539350213734
97,49.0,24.35904434,3.797367287,Nano,174.1981389,0.4429232833038034
98,29.0,11.21368878,0.55883658,Macro,98.99963768,0.41184519777527323
99,,7.635819371,1.554145839,Macro,56.18672988,0.16356113320044316
100,39.0,13.18725635,2.766352269,Macro,140.4152859,0.3913648593653578
101,87.0,33.70789822,3.327272719,Nano,309.3616681,0.40093904232151384
102,38.0,9.437711713,4.377587812,Mega,133.5654887,0.3879392800439774
103,43.0,9.726736048,0.337998227,Macro,152.2546677,0.3485261573691642
104,30.0,8.421994731,3.279480595,Macro,112.3081088,0.37131312931520044
105,93.0,19.95638677,2.261406312,Mega,333.5791129,0.3453987034150423
106,86.0,25.26070742,6.765663894,Nano,307.6190894,0.3836770063399063
107,63.0,26.03598627,3.290816886,Nano,225.4862319,0.40945649930832867
108,93.0,28.03820883,2.924281836,Nano,333.9664321,0.3711824864748136
109,94.0,32.14620508,4.61092529,Macro,334.6459156,0.3907327843388147
110,63.0,21.84654391,2.64241023,Macro,222.4683071,0.3932647992896962
111,30.0,17.46901907,4.337634178,Nano,105.1853123,0.49252744622977174
112,18.0,7.291955516,2.317959067,Micro,62.31766345,0.4430511841181684
113,24.0,3.426021221,0.00317676,Micro,86.11553566,0.3185162557577941
114,56.0,14.88018119,2.367556821,Macro,197.225133,0.3713915001441525
115,40.0,17.42884965,3.306706147,Macro,143.8359148,0.42225584535997956
116,74.0,29.56295098,2.060719698,Micro,263.105633,0.40144967431389045
117,52.0,14.56589504,1.9982184,Mega,182.9860143,0.37469592253969325
118,74.0,20.22086793,4.540904518,Macro,267.7373384,0.36887560412081843
119,,30.47048529,6.806918967,Micro,336.8186903,0.11067498725738023
120,70.0,15.3541893,1.049369556,Micro,250.7513879,0.34457858670141384
121,99.0,33.87824351,8.091610987,Mega,356.5821434,0.395336269934486
122,42.0,15.21523612,1.501445964,Nano,145.2164746,0.4043389859569005
123,85.0,31.79693826,2.16250238,Mega,303.397391,0.39209117866145393
124,38.0,8.872274678,1.605213404,Macro,132.3443679,0.36629808167303196
125,30.0,15.43267247,3.9865702,Macro,104.5039262,0.4728936458848568
126,49.0,21.03218038,5.087016957,Micro,174.5641128,0.4303244013451086
127,27.0,6.447508155,1.415638249,Mega,96.43343282,0.36152551438332176
128,30.0,4.561312156,1.652759623,Mega,104.1503565,0.34770953260251203
129,100.0,36.57380821,5.273156173,Mega,354.7973747,0.39979710814641495
130,21.0,1.380311071,5.286680958,Mega,80.94072509,0.3418179414409296
131,38.0,18.90360911,4.889993447,Macro,131.1015188,0.4713416222985817
132,39.0,9.722746017,0.903060425,Micro,135.5443199,0.36612236114808966
133,14.0,4.828279786,0.28603859,Micro,49.18778559,0.38859887971630885
134,40.0,18.378401,1.320080106,Mega,141.3801238,0.42225511975396923
135,33.0,17.44947546,0.887761603,Macro,119.3308074,0.43020941684334907
136,88.0,26.00963987,1.495600762,Nano,321.0466894,0.3597770805482101
137,67.0,28.48182095,1.520803886,Mega,240.4027581,0.40350046564627995
138,65.0,20.06155575,3.529274197,Nano,226.9989318,0.39026980983793336
139,95.0,30.73728576,8.980234377,Micro,341.4281402,0.39457064100834177
140,95.0,36.42230623,9.997472195,Nano,335.3014311,0.42176908688118037
141,,9.164463979,1.096681429,Macro,65.25918923,0.1572367896241484
142,77.0,31.6532001,7.776978403,Nano,273.9603772,0.42498911591876726
143,70.0,21.43851856,5.708104984,Mega,249.3019048,0.38967461408662296
144,34.0,16.19365273,0.792203039,Mega,117.0546557,0.43557307023884567
145,59.0,13.45217597,1.50308216,Macro,208.7495053,0.35427752522678674
146,30.0,12.1555835,0.932529328,Macro,106.0995933,0.4061100659091782
147,68.0,22.38968684,1.506105779,Micro,243.0816632,0.37804493933954614
148,43.0,8.573864534,3.298362157,Micro,156.9537519,0.3496076138782638
149,18.0,8.477135293,0.608817354,Mega,61.70848657,0.4389339968056844
150,84.0,33.9556193,4.479871088,Nano,299.3466037,0.409009118108127
151,61.0,28.38518716,6.157704568,Micro,222.4507601,0.4295013048507898
152,24.0,11.88643795,1.558209074,Micro,82.54907175,0.4536047011818761
153,41.0,8.715248318,0.181466489,Nano,144.5920869,0.3450860685170732
154,67.0,18.30464111,4.895171905,Micro,234.021177,0.38543440457527484
155,51.0,24.00692574,4.152022007,Nano,183.3277351,0.4317892636584479
156,100.0,36.73413489,7.359714283,Micro,354.1039697,0.40692525784186373
157,44.0,18.94795499,2.229813818,Micro,160.5796388,0.40589061785833336
158,10.0,0.758569411,0.527880863,Nano,35.54799802,0.31749890015325255
159,21.0,1.397371107,1.444591132,Nano,77.54794767,0.30744801062250987
160,32.0,5.471955572,0.672964457,Micro,110.3748636,0.34559426652827135
161,98.0,31.36391464,5.657550436,Nano,351.4266721,0.3842094974441184
162,39.0,4.856123013,0.874163256,Macro,131.0772545,0.3412513211359641
163,,38.1184237,6.676611421,Micro,328.5551842,0.13633945612537376
164,40.0,19.63906306,0.795725948,Micro,146.1456862,0.41352427553212306
165,44.0,19.01537456,6.543306951,Mega,153.5822256,0.45290840941557503
166,49.0,24.87104934,5.036281432,Nano,174.9861639,0.4509346854251486
167,78.0,30.11726533,3.357794085,Macro,278.955153,0.39961641939985953
168,49.0,20.42365468,4.346777364,Mega,178.3746767,0.41357009531162897
169,55.0,22.37478299,5.066577857,Mega,197.0111372,0.4184604079682455
170,73.0,22.86737608,0.968984226,Nano,261.0908818,0.370891390914901
171,58.0,17.39877506,4.007447145,Nano,204.099035,0.3890573133038086
172,82.0,23.43478708,5.914866129,Micro,288.0207452,0.3866028925509495
173,27.0,10.33353047,1.130122514,Macro,97.61236339,0.39404488989086855
174,94.0,29.34460985,3.436481014,Mega,336.3726161,0.3769066945280389
175,69.0,23.29045109,5.671686076,Mega,245.979961,0.3982525111710218
176,94.0,37.09705521,7.596290451,Nano,334.643793,0.4144506743054995
177,70.0,23.80856837,3.766603039,Micro,246.4947988,0.39585083289392314
178,88.0,27.46149343,1.524062069,Macro,312.1429635,0.37478197229648585
179,64.0,23.08148805,3.056298128,Macro,219.5681841,0.4105229842268391
180,39.0,11.78254265,2.956726836,Micro,138.3753078,0.38835880722066224
181,99.0,37.73241144,7.72405273,Macro,349.0483366,0.41385805065601333
182,81.0,26.42542193,,Macro,288.649441,0.3721657023060024
183,,1.287060452,0.396178735,Macro,56.54529263,0.02976798082935308
184,25.0,0.413849392,,Macro,92.35709194,0.2751694413300731
185,94.0,30.49815694,8.823311925,Macro,331.4840935,0.4021956753861555
186,73.0,25.34020889,,Mega,258.3589687,0.38063400463635616
187,36.0,8.840112507,0.962941668,Nano,125.3870645,0.3652932968615754
188,78.0,26.40676494,2.475101624,Macro,271.0264376,0.3943595595708778
189,89.0,29.68238385,,Macro,320.2643973,0.3705762640198409
190,44.0,6.313173395,1.310027864,Macro,152.8312537,0.3377790864709762
191,79.0,27.88320654,7.467941688,Nano,282.7480985,0.40442764720484936
192,41.0,13.14265735,,Nano,142.6268646,0.3796105137825486
193,26.0,15.26673306,2.205879856,Macro,88.96782897,0.48863295215014174
194,17.0,8.197932469,2.119872253,Mega,63.25378214,0.4318762261762835
195,34.0,12.66039824,,Mega,117.1141409,0.398418140468979
196,13.0,8.077501591,0.013230147,Nano,48.30375112,0.4366272028357536
197,98.0,,6.399729574,Nano,345.9528384,0.30177445589647167
198,12.0,3.556576557,0.360014914,Micro,37.24327179,0.4273682387720212
199,11.0,3.785254654,1.569644569,Micro,45.55251127,0.35903397566954826
200,89.0,,4.535458014,Micro,316.7256236,0.29532014792755784
201,39.0,13.22123736,3.660566126,Micro,135.7731514,0.4115821346841037
202,86.0,27.14817277,4.409399375,Nano,308.3930492,0.38119397453981263
203,22.0,,4.132525561,Macro,78.03149813,0.33489714009416266
204,76.0,26.19267329,4.127600897,Macro,269.6030059,0.394358637924222
205,33.0,13.36586735,0.012138363,Macro,116.2374967,0.3989935006317114
206,12.0,,1.230026167,Micro,50.00921016,0.264551792053338
207,83.0,28.40915338,4.085216067,Micro,292.857168,0.39437098376571067
208,77.0,25.59837924,5.514786646,Nano,,
209,37.0,10.25291621,0.86532872,Nano,135.5300789,0.3550373859481314
210,,17.00707465,5.199634828,Macro,208.8163817,0.10634562909869634
211,92.0,16.70376892,1.888403291,Macro,325.5137107,0.3397465869353933
212,100.0,32.920194,9.904286084,Nano,357.1245732,0.39992901861730534
213,94.0,30.37270595,5.94611293,Mega,334.0892379,0.39007188528176173
214,100.0,36.46675337,5.635992458,Mega,,
215,27.0,3.438824491,0.749518789,Mega,97.50795879,0.3198543346309752
216,53.0,19.04450325,2.715095722,Macro,191.6180402,0.3901490636996923
217,73.0,28.4645976,5.545684409,Mega,256.4252258,0.4173157366836566
218,78.0,26.39407008,3.83736988,Mega,279.5906387,0.3871068089519694
219,59.0,25.68728652,6.903109247,Macro,209.8956538,0.4363615639906118
220,44.0,15.72633981,5.470316628,Mega,159.6309441,0.40842116674545187
221,74.0,24.22063365,0.285897607,Micro,,
222,82.0,33.67469531,8.243045066,Nano,290.0198478,0.42727331014067244
223,47.0,14.16232438,4.388114516,Nano,170.1261872,0.3853048138846434
224,22.0,3.598474281,4.325620528,Micro,78.81257166,0.3796868212611247
225,78.0,24.89028294,3.531093274,Macro,277.0940713,0.384062263457024
226,19.0,8.726782674,0.49783849,Mega,,
227,15.0,9.809647258,2.175099221,Macro,51.15173712,0.5275431099376904
228,78.0,36.13477932,6.812528936,Micro,275.8154126,0.4385081570166033
229,63.0,19.10204333,4.773049696,Micro,225.791715,0.3847576649391232
230,45.0,12.22739961,1.306053839,Nano,162.3039063,0.36064106393599477
231,22.0,6.809751696,0.011450525,Macro,,
232,31.0,8.843924649,0.104810858,Micro,111.1277488,0.35948479059804367
233,23.0,2.201752448,0.376547887,Nano,80.45443519,0.31792281276469925
234,19.0,4.894410734,0.147196027,Macro,69.99070666,0.3434971285229198
235,40.0,11.90789251,1.958036191,Nano,138.6769979,0.38842727717427744
236,27.0,1.384415461,2.39812919,Nano,,
237,35.0,5.392624287,0.020639976,Macro,118.5011567,0.34103687582823405
238,63.0,20.77468172,6.259153285,Micro,229.0903237,0.39300583957837415
239,78.0,23.80959139,1.915047092,Nano,276.9190626,0.3745666242985469
240,91.0,22.27671374,3.290079821,Mega,322.6677652,0.3612594939217065
241,44.0,16.60931402,5.15906663,Mega,157.490072,0.4176033435936203
242,16.0,12.25135762,1.463118167,Mega,56.81533661,0.5230009634717185
243,40.0,12.7084063,5.838251913,Nano,139.792394,0.41881147133798996
244,60.0,21.43888957,3.147751404,Nano,212.1691189,0.39867555378720104
245,49.0,16.31903668,0.463311511,Micro,177.5025509,0.3705994525569379
246,71.0,26.02394936,3.116428483,Mega,253.9861099,0.3942750171748664
247,59.0,21.27291211,3.385121455,Nano,215.9054823,0.3874752631281378
248,92.0,33.29585958,1.229454172,Macro,327.6536439,0.38615567416248714
249,60.0,19.01558716,5.895165277,Mega,214.4576138,0.39593256183567593
250,28.0,10.93200857,1.867646115,Nano,97.20055286,0.419747146333258
251,29.0,9.197032332,3.246667727,Micro,99.10933661,0.41816141119058187
252,97.0,31.70701011,4.365166691,Nano,347.1547599,0.3833223454557623
253,11.0,9.398839224,3.206508472,Mega,41.35123045,0.5708499466428815
254,49.0,13.76198317,2.502653025,Nano,173.1550912,0.37691433582866546
255,38.0,4.338843042,0.028073247,Mega,139.8343646,0.30297928846168626
256,18.0,12.38447814,1.637157501,Nano,65.125304,0.4916926858567907
257,42.0,10.01903472,0.191093711,Nano,152.9496029,0.34135510940251024
258,76.0,32.31926372,6.494517858,Mega,270.6378511,0.4242340127640779
259,86.0,29.91962703,6.312902998,Mega,303.6096465,0.40259764943931053
260,70.0,30.47388738,5.704360367,Nano,248.0514829,0.42804923601204564
261,69.0,24.36246064,5.463176008,Macro,239.7328932,0.412232277885845
262,47.0,14.59516994,0.573235814,Nano,162.1479537,0.383405429025775
263,46.0,17.87483166,3.918941935,Micro,167.5332259,0.40465867729106986
264,98.0,33.5556744,5.401715328,Micro,343.7047069,0.39847400102043806
265,63.0,18.31721305,5.106410106,Mega,222.4538087,0.3885014316502462
266,66.0,15.81007671,0.495169721,Mega,229.5582512,0.358537521525604
267,76.0,21.43025018,3.608351353,Nano,269.0373261,0.37555607245161365
268,12.0,12.84827976,2.810375342,Nano,42.65152205,0.6484799081630899
269,75.0,38.27143199,8.586450249,Micro,263.5238127,0.4624169671441612
270,85.0,25.24181707,5.969538042,Nano,296.2485996,0.3922764707374502
271,12.0,3.188668313,0.276135877,Nano,46.84859882,0.33010174433216916
272,90.0,33.5117751,4.663526779,Macro,322.4697556,0.39748007263661655
273,88.0,35.4551909,4.091396616,Macro,312.3107698,0.4083963790223413
274,35.0,18.81472652,3.041468747,Mega,123.9521411,0.45869474107051145
275,89.0,26.11806108,4.020019107,Nano,320.5882954,0.3716232997163876
276,54.0,22.45001505,3.389499568,Nano,188.8286445,0.42281463614488857
277,16.0,1.095054697,1.784711655,Mega,55.33417257,0.34119542183659324
278,98.0,32.07909439,4.158338824,Mega,342.6522282,0.3917599891854431
279,23.0,7.989787362,0.508955059,Mega,84.70733843,0.3718537614899773
280,93.0,33.74742661,2.79805324,Mega,333.0773697,0.3889350992734226
281,52.0,17.45288044,3.909853584,Nano,188.1163762,0.38998589865457983
282,27.0,8.301393097,0.297735659,Mega,98.16192205,0.36265720976680893
283,13.0,5.358821718,3.103557138,Nano,47.50814092,0.45176212835061197
284,83.0,21.93601248,4.436259637,Micro,294.4933353,0.3713913321861176
285,66.0,21.57823348,8.87423765,Macro,231.9942926,0.41575363794100506
286,19.0,7.789507227,4.06782199,Macro,62.0795245,0.49706130105748475
287,85.0,23.77346122,4.542661031,Mega,304.9042152,0.37164498423437997
288,63.0,19.71906624,5.481915242,Nano,220.7061299,0.3996308644529406
289,62.0,25.07908112,5.066101233,Nano,225.469526,0.40868131488864706
290,45.0,15.53732896,0.125813206,Mega,157.6872981,0.38470531803728075
291,23.0,6.621635323,0.113631173,Mega,79.93998662,0.3719698708150722
292,50.0,11.36398701,2.32129586,Mega,185.3102927,0.34366835183354066
293,60.0,19.49995648,4.912336165,Macro,216.2681567,0.39031309062338726
294,25.0,13.00455149,5.277124394,Micro,91.95954527,0.4706599598434486
295,31.0,12.22596591,0.397207276,Macro,111.1431062,0.39249553730755815
296,77.0,21.03196536,1.86728813,Micro,275.3886734,0.3627573068152192
297,27.0,9.235845656,2.963209488,Nano,93.35175941,0.419906977562556
298,77.0,25.58343965,3.870991902,Macro,276.0838978,0.3855872522819765
299,95.0,25.54636769,1.963490079,Micro,333.3682547,0.36749107343543347
300,48.0,25.37723103,3.997027881,Micro,172.8854592,0.44754636548982824
301,14.0,4.643175727,0.637375788,Micro,53.97461493,0.35721517494853944
302,24.0,4.014313143,1.258968767,Macro,91.49656896,0.3199385752136513
303,65.0,23.29031005,7.389827731,Mega,229.1969742,0.4174581192224134
304,35.0,9.531452188,0.103503553,Nano,125.3393415,0.3561128948567199
305,86.0,24.29320314,8.041212299,Micro,306.6065875,0.38594870515950674
306,48.0,14.41875328,3.117413536,Nano,170.2833159,0.3848654606566773
307,59.0,19.34086431,1.602340512,Micro,210.5717703,0.37964825345821773
308,88.0,26.30065656,4.204039947,Nano,314.1805472,0.3771866131214123
309,78.0,23.32245121,3.866739527,Mega,280.8316239,0.37456319653820863
310,79.0,31.05740864,3.806952761,Micro,286.677508,0.39718623967179184
311,22.0,1.060644401,1.093882341,Macro,73.09318596,0.3304620865099311
312,46.0,17.61333015,3.480429694,Macro,160.6150905,0.4177301126259988
313,83.0,23.77898268,2.930681192,Micro,295.4915271,0.37127854374948677
314,26.0,12.10537618,4.007434704,Macro,94.00245512,0.4479969255083856
315,34.0,2.089999917,0.217752116,Nano,123.1219261,0.2948926578967806
316,50.0,3.497200302,3.337071447,Nano,174.7450326,0.32524112933783045
317,79.0,19.15584406,0.014711851,Macro,281.5928898,0.34862583348864085
318,75.0,25.27194402,7.717105296,Nano,267.8036097,0.4032397077730652
319,32.0,13.45746031,0.91765612,Mega,116.7838444,0.3971021562807877
320,29.0,9.487993613,0.250432849,Micro,105.7767079,0.3662283240902414
321,96.0,36.72307745,3.950392592,Nano,343.0877465,0.398363017730218
322,74.0,27.96329539,2.837584957,Nano,258.3754265,0.4056147357612586
323,49.0,20.26585723,3.446132597,Micro,171.8566675,0.42309670543914163
324,34.0,16.85678293,3.886005263,Mega,118.9163836,0.4603468970023404
325,37.0,12.22871601,1.749290106,Mega,129.0148388,0.39513289006256536
326,37.0,8.823525102,3.405839489,Mega,132.5496146,0.37140330237519975
327,59.0,15.29205006,3.340436207,Macro,208.2744516,0.37274128281512175
328,48.0,14.11561705,3.328378357,Mega,175.5461581,0.37280220834978217
329,80.0,24.55463481,4.832325799,Micro,285.5962329,0.383012617142262
330,28.0,5.313706473,2.473598787,Nano,91.49752891,0.391128653268894
331,64.0,25.52828252,3.140870036,Nano,226.276965,0.40953860485091803
332,50.0,21.17480421,4.486404533,Macro,180.3195365,0.4195951820395235
333,46.0,18.54842127,2.45558294,Nano,164.7562034,0.4066857746613989
334,86.0,24.78624404,6.349962293,Mega,309.2043274,0.3788310704379877
335,69.0,29.59440206,8.243715012,Nano,246.091519,0.4341397765601178
336,85.0,29.50102223,2.518222112,Mega,300.5584458,0.38933939796810063
337,52.0,9.837592493,2.080182174,Macro,183.7118744,0.3479240243765103
338,54.0,17.44304527,5.549219531,Nano,191.0034733,0.40309353265043485
339,17.0,2.249203812,0.395150251,Nano,61.86530832,0.31753424651808154
340,93.0,26.50281649,3.537618612,Mega,331.6478588,0.37099722442712785
341,85.0,24.48397916,5.918985615,Micro,297.0564909,0.38848827852695816
342,21.0,1.505943316,2.438904189,Mega,73.87341975,0.33767013344471575
343,88.0,37.96929695,4.739682162,Macro,314.311367,0.4158582629688986
344,75.0,29.4842347,7.237783972,Nano,268.7997822,0.4156328467144123
345,38.0,3.046308751,1.743629417,Macro,132.3260378,0.3233674859416066
346,95.0,36.36570198,1.944664898,Macro,339.115278,0.3931122409589579
347,46.0,25.28199938,2.798757505,Mega,163.6396214,0.4527067237824836
348,75.0,26.07549862,5.143706423,Mega,269.4449939,0.39421480245582696
349,64.0,10.93089931,3.085375073,Mega,225.0640548,0.34664031292037306
350,35.0,8.978475946,0.05362699,Nano,125.3289243,0.3513323295634478
351,30.0,6.122317863,2.606806497,Mega,104.5246807,0.3705261197702946
352,86.0,27.73800583,5.293540405,Macro,307.8933318,0.386599948557249
353,79.0,23.18345295,0.762159967,Nano,282.7108546,0.3641374614450336
354,16.0,16.92417111,6.447476349,Nano,54.65466518,0.7203712131312704
355,63.0,22.81607513,4.717042117,Nano,228.4241305,0.3963377995522238
356,78.0,22.76810931,2.964101681,Micro,277.3993307,0.37394542636147754
357,24.0,12.79448447,3.973162998,Nano,86.22925533,0.4727820890019508
358,34.0,14.44535454,1.270283967,Nano,124.595707,0.39901566196819277
359,36.0,14.75867975,0.807413059,Micro,125.0736865,0.4122857033481619
360,64.0,17.61714144,5.116676896,Micro,228.5424705,0.37950853574937615
361,79.0,37.37903665,4.767527236,Macro,281.1147925,0.4309505124530222
362,11.0,7.228354408,5.250181854,Micro,46.52969738,0.5045924986413484
363,22.0,5.120816808,2.205299711,Micro,74.74160402,0.39236669995940504
364,46.0,3.159829936,4.261809686,Nano,161.1829547,0.33143479545607313
365,49.0,15.44552256,0.062410122,Mega,174.556761,0.36955275929988185
366,39.0,8.437964502,2.926366891,Mega,141.5900868,0.35570520882680895
367,38.0,0.857280644,0.218739353,Nano,137.697369,0.2837818927172094
368,23.0,4.037914202,2.876505548,Micro,78.65146156,0.3803415620850161
369,17.0,8.482697909,0.946148453,Nano,58.92532301,0.44851423822513214
370,57.0,17.50937376,3.912910486,Macro,204.4533806,0.383570494241072
371,24.0,8.822604644,0.388314589,Mega,86.78602638,0.3826758824926857
372,38.0,13.97381157,2.937255499,Nano,133.3876269,0.4116653721575431
373,55.0,13.23675142,0.603918273,Mega,199.1316965,0.34570422942688084
374,84.0,27.93352343,3.978525877,Macro,300.5678307,0.38564356350794265
375,23.0,3.424421953,1.254887329,Nano,82.71102545,0.3346507812157708
376,25.0,21.57160034,0.182594127,Micro,89.0932451,0.5247782187585847
377,61.0,24.02670153,4.468540014,Macro,214.5067384,0.4172141267521133
378,92.0,36.2813941,7.693023889,Mega,334.2548231,0.40679867152827925
379,52.0,14.71875781,5.067918073,Micro,184.2832675,0.3895452737346325
380,42.0,25.04344301,7.954162784,Macro,151.1302268,0.4962449099824947
381,87.0,26.26344606,4.66625435,Mega,314.0867756,0.3754685315378812
